techs,color,name,base_tech,flow_cap_max,flow_out_eff_per_distance,lifetime,link_from,link_to
TH3_TH2_interp_8_to_TH3_TH2_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_8,TH3_TH2_interp_9
TH3_TH2_interp_9_to_TH3_TH2_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_9,TH3_TH2_interp_10
TH3_TH2_interp_10_to_TH2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH3_TH2_interp_10,TH2
TH4_to_TH4_TH3_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4,TH4_TH3_interp_1
TH4_TH3_interp_1_to_TH4_TH3_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_1,TH4_TH3_interp_2
TH4_TH3_interp_2_to_TH4_TH3_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_2,TH4_TH3_interp_3
TH4_TH3_interp_3_to_TH4_TH3_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_3,TH4_TH3_interp_4
TH4_TH3_interp_4_to_TH4_TH3_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_4,TH4_TH3_interp_5
TH4_TH3_interp_5_to_TH4_TH3_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_5,TH4_TH3_interp_6
TH4_TH3_interp_6_to_TH4_TH3_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_6,TH4_TH3_interp_7
TH4_TH3_interp_7_to_TH4_TH3_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_7,TH4_TH3_interp_8
TH4_TH3_interp_8_to_TH4_TH3_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_8,TH4_TH3_interp_9
TH4_TH3_interp_9_to_TH4_TH3_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_9,TH4_TH3_interp_10
TH4_TH3_interp_10_to_TH3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH4_TH3_interp_10,TH3
TH5_to_TH5_TH4_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5,TH5_TH4_interp_1
TH5_TH4_interp_1_to_TH5_TH4_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_1,TH5_TH4_interp_2
TH5_TH4_interp_2_to_TH5_TH4_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_2,TH5_TH4_interp_3
TH5_TH4_interp_3_to_TH5_TH4_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_3,TH5_TH4_interp_4
TH5_TH4_interp_4_to_TH5_TH4_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_4,TH5_TH4_interp_5
TH5_TH4_interp_5_to_TH5_TH4_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_5,TH5_TH4_interp_6
TH5_TH4_interp_6_to_TH5_TH4_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_6,TH5_TH4_interp_7
TH5_TH4_interp_7_to_TH5_TH4_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_7,TH5_TH4_interp_8
TH5_TH4_interp_8_to_TH5_TH4_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_8,TH5_TH4_interp_9
TH5_TH4_interp_9_to_TH5_TH4_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_9,TH5_TH4_interp_10
TH5_TH4_interp_10_to_TH4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH5_TH4_interp_10,TH4
TH6_to_TH6_TH5_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6,TH6_TH5_interp_1
TH6_TH5_interp_1_to_TH6_TH5_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_1,TH6_TH5_interp_2
TH6_TH5_interp_2_to_TH6_TH5_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_2,TH6_TH5_interp_3
TH6_TH5_interp_3_to_TH6_TH5_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_3,TH6_TH5_interp_4
TH6_TH5_interp_4_to_TH6_TH5_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_4,TH6_TH5_interp_5
TH6_TH5_interp_5_to_TH6_TH5_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_5,TH6_TH5_interp_6
TH6_TH5_interp_6_to_TH6_TH5_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_6,TH6_TH5_interp_7
TH6_TH5_interp_7_to_TH6_TH5_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_7,TH6_TH5_interp_8
TH6_TH5_interp_8_to_TH6_TH5_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_8,TH6_TH5_interp_9
TH6_TH5_interp_9_to_TH6_TH5_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_9,TH6_TH5_interp_10
TH6_TH5_interp_10_to_TH5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH6_TH5_interp_10,TH5
TH7_to_TH7_TH6_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7,TH7_TH6_interp_1
TH7_TH6_interp_1_to_TH7_TH6_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_1,TH7_TH6_interp_2
TH7_TH6_interp_2_to_TH7_TH6_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_2,TH7_TH6_interp_3
TH7_TH6_interp_3_to_TH7_TH6_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_3,TH7_TH6_interp_4
TH7_TH6_interp_4_to_TH7_TH6_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_4,TH7_TH6_interp_5
TH7_TH6_interp_5_to_TH7_TH6_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_5,TH7_TH6_interp_6
TH7_TH6_interp_6_to_TH7_TH6_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_6,TH7_TH6_interp_7
TH7_TH6_interp_7_to_TH7_TH6_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_7,TH7_TH6_interp_8
TH7_TH6_interp_8_to_TH7_TH6_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_8,TH7_TH6_interp_9
TH7_TH6_interp_9_to_TH7_TH6_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_9,TH7_TH6_interp_10
TH7_TH6_interp_10_to_TH6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH7_TH6_interp_10,TH6
TH8_to_TH8_TH7_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8,TH8_TH7_interp_1
TH8_TH7_interp_1_to_TH8_TH7_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_1,TH8_TH7_interp_2
TH8_TH7_interp_2_to_TH8_TH7_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_2,TH8_TH7_interp_3
TH8_TH7_interp_3_to_TH8_TH7_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_3,TH8_TH7_interp_4
TH8_TH7_interp_4_to_TH8_TH7_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_4,TH8_TH7_interp_5
TH8_TH7_interp_5_to_TH8_TH7_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_5,TH8_TH7_interp_6
TH8_TH7_interp_6_to_TH8_TH7_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_6,TH8_TH7_interp_7
TH8_TH7_interp_7_to_TH8_TH7_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_7,TH8_TH7_interp_8
TH8_TH7_interp_8_to_TH8_TH7_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_8,TH8_TH7_interp_9
TH8_TH7_interp_9_to_TH8_TH7_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_9,TH8_TH7_interp_10
TH8_TH7_interp_10_to_TH7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH8_TH7_interp_10,TH7
TH9_to_TH9_TH8_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9,TH9_TH8_interp_1
TH9_TH8_interp_1_to_TH9_TH8_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_1,TH9_TH8_interp_2
TH9_TH8_interp_2_to_TH9_TH8_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_2,TH9_TH8_interp_3
TH9_TH8_interp_3_to_TH9_TH8_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_3,TH9_TH8_interp_4
TH9_TH8_interp_4_to_TH9_TH8_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_4,TH9_TH8_interp_5
TH9_TH8_interp_5_to_TH9_TH8_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_5,TH9_TH8_interp_6
TH9_TH8_interp_6_to_TH9_TH8_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_6,TH9_TH8_interp_7
TH9_TH8_interp_7_to_TH9_TH8_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_7,TH9_TH8_interp_8
TH9_TH8_interp_8_to_TH9_TH8_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_8,TH9_TH8_interp_9
TH9_TH8_interp_9_to_TH9_TH8_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_9,TH9_TH8_interp_10
TH9_TH8_interp_10_to_TH8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH9_TH8_interp_10,TH8
TH10_to_TH10_TH9_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10,TH10_TH9_interp_1
TH10_TH9_interp_1_to_TH10_TH9_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_1,TH10_TH9_interp_2
TH10_TH9_interp_2_to_TH10_TH9_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_2,TH10_TH9_interp_3
TH10_TH9_interp_3_to_TH10_TH9_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_3,TH10_TH9_interp_4
TH10_TH9_interp_4_to_TH10_TH9_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_4,TH10_TH9_interp_5
TH10_TH9_interp_5_to_TH10_TH9_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_5,TH10_TH9_interp_6
TH10_TH9_interp_6_to_TH10_TH9_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_6,TH10_TH9_interp_7
TH10_TH9_interp_7_to_TH10_TH9_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_7,TH10_TH9_interp_8
TH10_TH9_interp_8_to_TH10_TH9_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_8,TH10_TH9_interp_9
TH10_TH9_interp_9_to_TH10_TH9_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_9,TH10_TH9_interp_10
TH10_TH9_interp_10_to_TH9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH10_TH9_interp_10,TH9
TH11_to_TH11_TH10_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11,TH11_TH10_interp_1
TH11_TH10_interp_1_to_TH11_TH10_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_1,TH11_TH10_interp_2
TH11_TH10_interp_2_to_TH11_TH10_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_2,TH11_TH10_interp_3
TH11_TH10_interp_3_to_TH11_TH10_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_3,TH11_TH10_interp_4
TH11_TH10_interp_4_to_TH11_TH10_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_4,TH11_TH10_interp_5
TH11_TH10_interp_5_to_TH11_TH10_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_5,TH11_TH10_interp_6
TH11_TH10_interp_6_to_TH11_TH10_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_6,TH11_TH10_interp_7
TH11_TH10_interp_7_to_TH11_TH10_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_7,TH11_TH10_interp_8
TH11_TH10_interp_8_to_TH11_TH10_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_8,TH11_TH10_interp_9
TH11_TH10_interp_9_to_TH11_TH10_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_9,TH11_TH10_interp_10
TH11_TH10_interp_10_to_TH10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH11_TH10_interp_10,TH10
TH12_to_TH12_TH11_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12,TH12_TH11_interp_1
TH12_TH11_interp_1_to_TH12_TH11_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_1,TH12_TH11_interp_2
TH12_TH11_interp_2_to_TH12_TH11_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_2,TH12_TH11_interp_3
TH12_TH11_interp_3_to_TH12_TH11_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_3,TH12_TH11_interp_4
TH12_TH11_interp_4_to_TH12_TH11_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_4,TH12_TH11_interp_5
TH12_TH11_interp_5_to_TH12_TH11_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_5,TH12_TH11_interp_6
TH12_TH11_interp_6_to_TH12_TH11_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_6,TH12_TH11_interp_7
TH12_TH11_interp_7_to_TH12_TH11_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_7,TH12_TH11_interp_8
TH12_TH11_interp_8_to_TH12_TH11_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_8,TH12_TH11_interp_9
TH12_TH11_interp_9_to_TH12_TH11_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_9,TH12_TH11_interp_10
TH12_TH11_interp_10_to_TH11,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH12_TH11_interp_10,TH11
TH13_to_TH13_TH12_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13,TH13_TH12_interp_1
TH13_TH12_interp_1_to_TH13_TH12_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_1,TH13_TH12_interp_2
TH13_TH12_interp_2_to_TH13_TH12_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_2,TH13_TH12_interp_3
TH13_TH12_interp_3_to_TH13_TH12_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_3,TH13_TH12_interp_4
TH13_TH12_interp_4_to_TH13_TH12_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_4,TH13_TH12_interp_5
TH13_TH12_interp_5_to_TH13_TH12_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_5,TH13_TH12_interp_6
TH13_TH12_interp_6_to_TH13_TH12_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_6,TH13_TH12_interp_7
TH13_TH12_interp_7_to_TH13_TH12_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_7,TH13_TH12_interp_8
TH13_TH12_interp_8_to_TH13_TH12_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_8,TH13_TH12_interp_9
TH13_TH12_interp_9_to_TH13_TH12_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_9,TH13_TH12_interp_10
TH13_TH12_interp_10_to_TH12,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH13_TH12_interp_10,TH12
TH14_to_TH14_TH13_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14,TH14_TH13_interp_1
TH14_TH13_interp_1_to_TH14_TH13_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_1,TH14_TH13_interp_2
TH14_TH13_interp_2_to_TH14_TH13_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_2,TH14_TH13_interp_3
TH14_TH13_interp_3_to_TH14_TH13_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_3,TH14_TH13_interp_4
TH14_TH13_interp_4_to_TH14_TH13_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_4,TH14_TH13_interp_5
TH14_TH13_interp_5_to_TH14_TH13_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_5,TH14_TH13_interp_6
TH14_TH13_interp_6_to_TH14_TH13_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_6,TH14_TH13_interp_7
TH14_TH13_interp_7_to_TH14_TH13_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_7,TH14_TH13_interp_8
TH14_TH13_interp_8_to_TH14_TH13_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_8,TH14_TH13_interp_9
TH14_TH13_interp_9_to_TH14_TH13_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_9,TH14_TH13_interp_10
TH14_TH13_interp_10_to_TH13,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH14_TH13_interp_10,TH13
TH15_to_TH15_TH14_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15,TH15_TH14_interp_1
TH15_TH14_interp_1_to_TH15_TH14_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_1,TH15_TH14_interp_2
TH15_TH14_interp_2_to_TH15_TH14_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_2,TH15_TH14_interp_3
TH15_TH14_interp_3_to_TH15_TH14_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_3,TH15_TH14_interp_4
TH15_TH14_interp_4_to_TH15_TH14_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_4,TH15_TH14_interp_5
TH15_TH14_interp_5_to_TH15_TH14_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_5,TH15_TH14_interp_6
TH15_TH14_interp_6_to_TH15_TH14_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_6,TH15_TH14_interp_7
TH15_TH14_interp_7_to_TH15_TH14_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_7,TH15_TH14_interp_8
TH15_TH14_interp_8_to_TH15_TH14_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_8,TH15_TH14_interp_9
TH15_TH14_interp_9_to_TH15_TH14_interp_10,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_9,TH15_TH14_interp_10
TH15_TH14_interp_10_to_TH14,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH15_TH14_interp_10,TH14
TH16_to_TH16_TH15_interp_1,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16,TH16_TH15_interp_1
TH16_TH15_interp_1_to_TH16_TH15_interp_2,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_1,TH16_TH15_interp_2
TH16_TH15_interp_2_to_TH16_TH15_interp_3,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_2,TH16_TH15_interp_3
TH16_TH15_interp_3_to_TH16_TH15_interp_4,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_3,TH16_TH15_interp_4
TH16_TH15_interp_4_to_TH16_TH15_interp_5,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_4,TH16_TH15_interp_5
TH16_TH15_interp_5_to_TH16_TH15_interp_6,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_5,TH16_TH15_interp_6
TH16_TH15_interp_6_to_TH16_TH15_interp_7,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_6,TH16_TH15_interp_7
TH16_TH15_interp_7_to_TH16_TH15_interp_8,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_7,TH16_TH15_interp_8
TH16_TH15_interp_8_to_TH16_TH15_interp_9,#823739,Interpolated Heat transmission,transmission,2000,0.98,20,TH16_TH15_interp_8,TH16_TH15_interp_9
