techs,flow_cap_max,flow_out_eff,cost_flow_cap_per_distance
TH1_to_D67,2000,0.99,0.01
TH1_to_D68,2000,0.99,0.01
TH1_to_D69,2000,0.99,0.01
TH1_to_D70,2000,0.99,0.01
TH1_to_D71,2000,0.99,0.01
TH1_to_D72,2000,0.99,0.01
TH1_to_D73,2000,0.99,0.01
TH1_to_D74,2000,0.99,0.01
TH1_to_D75,2000,0.99,0.01
TH1_to_D76,2000,0.99,0.01
TH1_to_D77,2000,0.99,0.01
TH1_to_D78,2000,0.99,0.01
TH1_to_D79,2000,0.99,0.01
TH1_to_D80,2000,0.99,0.01
TH1_to_D81,2000,0.99,0.01
TH1_to_D82,2000,0.99,0.01
TH1_to_D83,2000,0.99,0.01
TH1_to_D84,2000,0.99,0.01
TH1_to_D85,2000,0.99,0.01
TH1_to_D86,2000,0.99,0.01
TH1_to_D87,2000,0.99,0.01
TH1_to_D88,2000,0.99,0.01
TH1_to_D89,2000,0.99,0.01
TH1_to_D90,2000,0.99,0.01
TH1_to_D91,2000,0.99,0.01
TH1_to_D92,2000,0.99,0.01
TH1_to_D93,2000,0.99,0.01
TH1_to_D94,2000,0.99,0.01
TH1_to_D95,2000,0.99,0.01
TH1_to_D96,2000,0.99,0.01
TH1_to_D97,2000,0.99,0.01
TH1_to_D98,2000,0.99,0.01
TH1_to_D99,2000,0.99,0.01
TH1_to_D100,2000,0.99,0.01
TH1_to_D101,2000,0.99,0.01
TH1_to_D102,2000,0.99,0.01
TH1_to_D103,2000,0.99,0.01
TH1_to_D104,2000,0.99,0.01
TH1_to_D105,2000,0.99,0.01
TH1_to_D106,2000,0.99,0.01
TH1_to_D107,2000,0.99,0.01
TH1_to_D108,2000,0.99,0.01
TH1_to_D109,2000,0.99,0.01
TH1_to_D110,2000,0.99,0.01
TH1_to_D111,2000,0.99,0.01
TH1_to_D112,2000,0.99,0.01
TH1_to_D113,2000,0.99,0.01
TH1_to_D114,2000,0.99,0.01
TH1_to_D115,2000,0.99,0.01
TH1_to_D116,2000,0.99,0.01
TH1_to_D117,2000,0.99,0.01
TH1_to_D118,2000,0.99,0.01
TH1_to_D119,2000,0.99,0.01
TH1_to_D120,2000,0.99,0.01
TH1_to_D121,2000,0.99,0.01
TH1_to_D122,2000,0.99,0.01
TH1_to_D123,2000,0.99,0.01
TH1_to_D124,2000,0.99,0.01
TH1_to_D125,2000,0.99,0.01
TH1_to_D126,2000,0.99,0.01
TH1_to_D127,2000,0.99,0.01
TH1_to_D128,2000,0.99,0.01
TH1_to_D129,2000,0.99,0.01
TH1_to_D130,2000,0.99,0.01
TH1_to_D131,2000,0.99,0.01
TH1_to_D132,2000,0.99,0.01
TH1_to_D133,2000,0.99,0.01
TH1_to_D134,2000,0.99,0.01
TH1_to_D135,2000,0.99,0.01
TH1_to_D136,2000,0.99,0.01
TH1_to_D137,2000,0.99,0.01
TH1_to_D138,2000,0.99,0.01
TH1_to_D139,2000,0.99,0.01
TH1_to_D140,2000,0.99,0.01
TH1_to_D141,2000,0.99,0.01
TH1_to_D142,2000,0.99,0.01
TH1_to_D143,2000,0.99,0.01
TH1_to_D144,2000,0.99,0.01
TE1_to_SH1,2000,0.99,0.3
